Rank,ATS Score,Company,Job Title,Location,Date Posted,Required Experience,Salary (Actual/Estimated),Work-Life Balance Rating,Matching Rationale,LinkedIn Link
1,96/100,Gravitix Tech,Software Development Engineer - Fresher,"Hyderabad, Telangana, India",17 hours ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 96/100. Matches 7 profile skills (JAVA, SPRING BOOT, REACT, NODE.JS). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4433451931
2,96/100,ZYPHRA TECH,Software Development Engineer - Fresher,"Hyderabad, Telangana, India",1 week ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 96/100. Matches 7 profile skills (JAVA, SPRING BOOT, REACT, NODE.JS). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4428471765
3,96/100,Gravitix Tech,Fresher - Software Development Engineer,Greater Visakhapatnam Area,1 week ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 96/100. Matches 7 profile skills (JAVA, SPRING BOOT, REACT, NODE.JS). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4427471716
4,87/100,American Express,Software Engineer I,"Gurugram, Haryana, India",3 days ago,3+ years,₹20 - ₹32 LPA (Estimated),High,"ATS Score: 87/100. Matches 7 profile skills (JAVA, REACT, REST, MICROSERVICE). Excellent work-life balance, high scale fintech, great benefits.",https://in.linkedin.com/jobs/view/4431213950
5,87/100,American Express,Software Engineer I,"Chennai, Tamil Nadu, India",3 days ago,3+ years,₹20 - ₹32 LPA (Estimated),High,"ATS Score: 87/100. Matches 7 profile skills (JAVA, REACT, REST, MICROSERVICE). Excellent work-life balance, high scale fintech, great benefits.",https://in.linkedin.com/jobs/view/4431222860
6,83/100,Docusign,Software Engineer,"Bengaluru, Karnataka, India",1 week ago,2+ years,₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 83/100. Matches 6 profile skills (JAVA, NODE.JS, REST, DOCKER). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4418554747
7,83/100,Docusign,Software Engineer,"Bengaluru, Karnataka, India",1 week ago,2+ years,₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 83/100. Matches 6 profile skills (JAVA, NODE.JS, REST, DOCKER). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4418568434
8,81/100,CargoFL,Python Full Stack Developer Fresher,"Pune Division, Maharashtra, India",2 days ago,0-1 years,₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 81/100. Matches 6 profile skills (REACT, REST, AWS, DOCKER). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4432172354
9,81/100,Weekday AI (YC W21),Backend Engineer,"Bengaluru, Karnataka, India",2 days ago,1-3 years (Estimate),₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 81/100. Matches 5 profile skills (JAVA, SPRING BOOT, REST, MICROSERVICE). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4432584921
10,81/100,AlgoTest (YC S22),Software Engineer (Backend),"Delhi, Delhi, India",4 days ago,2+ years,₹18 - ₹26 LPA (Estimated),Medium,"ATS Score: 81/100. Matches 6 profile skills (REST, MICROSERVICE, AWS, DOCKER). Product-based company role matching tech stack.",https://in.linkedin.com/jobs/view/4430833662
